QUEST_LV_0200_20150317_000001	Philipas' Солдата
QUEST_LV_0200_20150317_000674	Буду искать доказательства, кто выступил в то время как вы уничтожить флаг. {nl}хотя мы и не разобрал, кто это был, я уверен, что демоны вмешались.
QUEST_LV_0200_20150317_000675	Хорошо. У меня есть одна последняя просьба. {nl}пожалуйста победить Woodspirits. {nl}затем слухи о чем-то жутко появляться не будет.
QUEST_LV_0200_20150317_000676	Спасибо. {nl}в Woodspirits были замечены в Atsylka зона отдыха. {nl}
QUEST_LV_0200_20150317_000677	Когда все закончится, мы будет проследить и выяснить, кто это сделал. {nl}это может быть долгий бой..
QUEST_LV_0200_20150317_000678	Демоны вмешательства.. чувствует, как вещи становятся все больше. {nl}я думаю, я должен сообщить об этом в голову, когда он закончится. {nl}Фрей будет хотеть сделать это сам, но это не кажется правильным. Что-то вроде это другой уровень??
QUEST_LV_0200_20150317_000679	Haha.. You're incredibly strong like Scott says, huh? {nl}I didn't imagine you'd defeat the Woodspirit this fast. {nl}I owe you one. Thank you very much. Let's meet again!
QUEST_LV_0200_20150317_000680	У меня к вам просьба. {nl}можно ли взять эту фрагмент крыла, чтобы наша Сова Neuoder главный на поле??
QUEST_LV_0200_20150317_000681	Это крыло фрагмент храбрые Совы. {nl}это очень грустная и болезненная вещь.
QUEST_LV_0200_20150317_000682	Это фрагмент моего друга крыла. {nl}был прерван монстров.
QUEST_LV_0200_20150317_000683	Пожалуйста. Доставить это крыло фрагмента на другой совы. {nl}он по-прежнему обладает силой богини осталось в нем, так что будет стимулировать их. {nl}
